No,Hari/Tanggal,Beli Langsung Siang,Beli Langsung Malam,Total Beli Langsung,Total Beli Antar,Total Keseluruhan,Merek AQUA, Merek DC,Total Penjualan, Total Pengeluaran,Hasil Pendapatan
1,26/01/2024,72,58,130,298,428,228,200,Rp2.399.000,Rp1.090.000,Rp1.309.000
2,27/01/2024,30,18,48,331,379,250,129,Rp2.976.000,Rp80.000,Rp2.896.000
3,28/01/2024,20,19,39,220,259,139,120,Rp1.525.000,Rp451.000,Rp1.074.000
4,29/01/2024,21,20,41,278,319,170,149,Rp2.098.000,Rp450.000,Rp1.648.000
5,30/01/2024,28,32,60,160,220,125,95,Rp1.357.000,Rp69.000,Rp1.288.000
6,31/01/2024,30,30,60,320,380,195,185,Rp2.220.000,Rp80.000,Rp2.140.000
7,01/02/2024,30,12,42,325,367,200,167,Rp2.250.000,Rp535.000,Rp1.715.000
8,02/02/2024,32,30,62,143,205,122,83,Rp1.214.000,Rp1.066.000,Rp148.000
9,03/02/2024,20,28,48,396,444,245,199,Rp2.586.000,Rp309.000,Rp2.277.000
10,04/02/2024,40,18,58,321,379,263,166,Rp2.156.000,Rp75.000,Rp2.081.000
11,05/02/2024,31,35,66,269,335,110,225,Rp2.006.000,Rp207.000,Rp1.799.000
12,06/02/2024,30,27,57,318,375,125,250,Rp2.210.000,Rp612.000,Rp1.598.000
13,07/02/2024,29,40,69,189,258,158,100,Rp1.455.000,Rp390.000,Rp1.065.000
14,08/02/2024,33,22,55,314,369,119,250,Rp2.089.000,Rp261.000,Rp1.828.000
15,09/02/2024,30,19,49,287,336,120,219,Rp1.928.000,Rp520.000,Rp1.408.000
16,10/02/2024,36,30,66,283,349,196,153,Rp1.977.000,Rp310.000,Rp1.667.000
17,11/02/2024,30,26,56,266,322,150,172,Rp2.146.000,Rp290.000,Rp1.856.000
18,12/02/2024,31,23,54,322,376,226,150,Rp2.159.000,Rp755.000,Rp1.404.000
19,13/02/2024,30,30,60,246,306,150,156,Rp1.932.000,Rp1.074.000,Rp858.000
20,14/02/2024,33,30,63,196,259,120,139,Rp1.499.000,Rp60.000,Rp1.439.000
21,15/02/2024,40,28,68,325,393,200,183,Rp2.201.000,Rp913.000,Rp1.288.000
22,16/02/2024,38,17,55,327,382,152,230,Rp2.173.000,Rp100.000,Rp2.073.000
23,17/02/2024,31,36,67,306,373,250,123,Rp2.278.000,Rp472.000,Rp1.806.000
